sep=;
T/1;CR/1;CS/2;;US/1;Cortex/2;;Thalamus/2;;Hippocampus.BindDelta/4;;;;Hippocampus.Context/4;;;;V/3;;;W/2;;
90;0.322;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.461;0.461;0.000;0.204;0.204;
91;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.461;0.461;0.000;0.204;0.204;
92;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.461;0.461;0.000;0.255;0.204;
93;0.258;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.461;0.461;0.000;0.255;0.204;
94;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.461;0.461;0.000;0.255;0.204;
95;0.000;0.000;0.000;1.000;0.000;0.000;1.000;1.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.461;0.461;0.000;0.255;0.255;
96;0.258;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.461;0.461;0.000;0.255;0.255;
97;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.461;0.461;0.000;0.255;0.255;
98;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.153;0.153;
99;0.412;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.153;0.153;
100;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.153;0.153;
101;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.153;0.153;
102;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.218;0.153;
103;0.324;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.218;0.153;
104;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.218;0.153;
105;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.218;0.218;
106;0.324;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.218;0.218;
107;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.218;0.218;
108;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.270;0.218;
109;0.259;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.270;0.218;
110;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.270;0.218;
111;0.000;0.000;0.000;1.000;0.000;0.000;1.000;1.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.270;0.270;
112;0.259;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.270;0.270;
113;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.477;0.477;0.000;0.270;0.270;
114;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.162;0.162;
115;0.414;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.162;0.162;
116;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.162;0.162;
117;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.162;0.162;
118;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.227;0.162;
119;0.324;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.227;0.162;
120;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.227;0.162;
121;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.227;0.227;
122;0.324;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.227;0.227;
