sep=;
T/1;CR/1;CS/1;US/1;Cortex/1;Thalamus/1;Hippocampus.BindDelta/4;;;;Hippocampus.Context/4;;;;V/2;;W/1;
87;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.91177;
88;0.06630;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.91177;
89;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.91177;
90;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.92238;
91;0.05304;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.92238;
92;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.92238;
93;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.93087;
94;0.04243;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.93087;
95;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.96482;0.00000;0.93087;
96;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.97185;0.00000;0.74470;
97;0.03395;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.97185;0.00000;0.74470;
98;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.97185;0.00000;0.74470;
99;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.97748;0.00000;0.59576;
100;0.22716;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.97748;0.00000;0.59576;
101;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.97748;0.00000;0.59576;
102;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.98199;0.00000;0.47660;
103;0.38173;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.98199;0.00000;0.47660;
104;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.98199;0.00000;0.47660;
105;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.98559;0.00000;0.38128;
106;0.50538;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.98559;0.00000;0.38128;
107;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.98559;0.00000;0.38128;
108;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.98847;0.00000;0.30503;
109;0.60430;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.98847;0.00000;0.30503;
110;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.98847;0.00000;0.30503;
111;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99078;0.00000;0.24402;
112;0.68344;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99078;0.00000;0.24402;
113;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99078;0.00000;0.24402;
114;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99262;0.00000;0.19522;
115;0.74675;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99262;0.00000;0.19522;
116;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99262;0.00000;0.19522;
117;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99410;0.00000;0.15617;
118;0.79740;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99410;0.00000;0.15617;
119;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99410;0.00000;0.15617;
120;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99528;0.00000;0.12494;
121;0.83792;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99528;0.00000;0.12494;
122;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99528;0.00000;0.12494;
123;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99622;0.00000;0.09995;
124;0.87034;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99622;0.00000;0.09995;
125;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99622;0.00000;0.09995;
126;0.00000;0.00000;1.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.99698;0.00000;0.07996;
