sep=;
T/1;CR/1;CS/3;;;US/1;Cortex/3;;;Thalamus/3;;;Hippocampus.BindDelta/4;;;;Hippocampus.Context/4;;;;V/4;;;;W/3;;;
94;0.051;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.079;0.390;
95;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.079;0.390;
96;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.184;0.263;0.390;
97;0.921;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.184;0.263;0.390;
98;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.184;0.263;0.390;
99;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.600;0.100;0.000;0.184;0.132;0.260;
100;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.600;0.100;0.000;0.184;0.132;0.260;
101;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.600;0.100;0.000;0.184;0.132;0.260;
102;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.600;0.100;0.000;0.341;0.289;0.260;
103;0.783;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.600;0.100;0.000;0.341;0.289;0.260;
104;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.600;0.100;0.000;0.341;0.289;0.260;
105;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.660;0.160;0.000;0.341;0.179;0.150;
106;0.151;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.660;0.160;0.000;0.341;0.179;0.150;
107;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.660;0.160;0.000;0.341;0.179;0.150;
108;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.660;0.160;0.000;0.469;0.307;0.150;
109;0.640;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.660;0.160;0.000;0.469;0.307;0.150;
110;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.660;0.160;0.000;0.469;0.307;0.150;
111;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.696;0.196;0.000;0.469;0.216;0.059;
112;0.363;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.696;0.196;0.000;0.469;0.216;0.059;
113;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.696;0.196;0.000;0.469;0.216;0.059;
114;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.696;0.196;0.000;0.571;0.318;0.059;
115;0.511;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.696;0.196;0.000;0.571;0.318;0.059;
116;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.696;0.196;0.000;0.571;0.318;0.059;
117;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.717;0.218;0.000;0.571;0.243;0.000;
118;0.515;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.717;0.218;0.000;0.571;0.243;0.000;
